; Diagram data of sequence 'DspData' [C:/TEMP/]

; Time Settings:
; Start Time = 0  SRT
; End Time = 874379125  SRT
; Time Step = 10 SRT


;               READOUT_EVENTS	                   X Gradient	                   Y Gradient	                   Z Gradient	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.1857130000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -3.6758240000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -4.1659350000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -4.6560450000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  1.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
                  0.0000000000	                  0.0000000000	                  0.0000000000	                 -5.1461540000	
